Group 1,Group 2,Permutation Test Threshold,DOTNB Threshold,Sensitivity Average,Sensitivity Standard Deviation,Specificity Average,Specificity Standard Deviation,Precision Average,Precision Standard Deviation,Accuracy Average,Accuracy Standard Deviation,F1 Average,F1 Standard Deviation
3,3,0.1,0.001,0.3014,0.2523243943815183,0.9907166668,0.008205206248088015,0.7997747042000001,0.03293845614197036,0.9217850000000001,0.017871548617845057,0.37687884639999997,0.2756006416974463
3,4,0.1,0.001,0.5272500000000001,0.011101176113867914,0.9885777777,0.001072220523762525,0.8370146114999999,0.012563057019819409,0.942445,0.0012741990948565798,0.6468704225999999,0.008998774306469894
3,5,0.1,0.001,0.53135,0.012806356928407772,0.9890888888999999,0.002896381389628092,0.8455925994000001,0.03227485443379234,0.9433149999999999,0.001970342609801651,0.6521624089,0.00851503259012109
3,6,0.1,0.001,0.5705,0.016489053608042172,0.9862500001000001,0.0011500132715283925,0.8219637322000001,0.010532834435868948,0.9446749999999999,0.0013060223751699242,0.6733408262000001,0.010947700490724271
3,7,0.1,0.005,0.6101,0.010221980673474648,0.9812277778,0.0011232209556567344,0.7831938692,0.011376773265776135,0.944115,0.001628914089542819,0.6858578384999999,0.009451102912957143
3,8,0.1,0.005,0.6158499999999999,0.008721142891464017,0.9834111112,0.0014001275132014888,0.8050331666,0.01371899415875671,0.946655,0.0016317083753606863,0.6977938065,0.008682990914321958
3,9,0.1,0.005,0.62325,0.015579990728851894,0.9850222222000001,0.0006739315761062633,0.8222022241,0.005716253018977464,0.9488449999999998,0.001356353362676712,0.7089319285,0.010495002468002645
3,10,0.1,0.005,0.6169,0.009397990328906604,0.9860999999999999,0.0005473466337236954,0.8313964026,0.006448924454113051,0.9491799999999999,0.0011764352935882062,0.7082398264,0.007769814409555437
4,3,0.1,0.001,0.5225500000000001,0.007617414259445268,0.9885111111999999,0.0008593870150875319,0.8349225001999999,0.010005281070660984,0.9419149999999998,0.0009600491885546699,0.6427457786999999,0.00643632095374784
4,4,0.1,0.001,0.54665,0.01000846863633217,0.9929888889,0.0009525071978025351,0.8966271269,0.01310084580172766,0.948355,0.00141606850116794,0.6791482580999999,0.009450073644730848
